N°,Couleur,inventaire,Format,Etagère,"valeur stock(€)",Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,"Prix total (€)",boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
440.2,B,0,,,0,Alsace,Alsace,Vignerons de Turckeim,Riesling Brand,1999,0,,,0.0,,,,,,,,,
440.1,B,1,,D9,0,Alsace,Alsace,Domaine André Ecklé ,Riesling Kaefferkopf Grand cru,2011,0,,,0.0,,,,,,,,,
238.1,B doux,5,,J2,20,Bordeaux,Sauternes,Château Rayne Vigneau,,1997,0,,6,4.0,79.0,24,,,,,,,
467.1,B,1,,A5,0,Bordeaux,Bordeaux sec,Château Guiraud,G Château Guiraud,2016,0,,1,0.0,,,,,,,,,
881.1,B,3,,B4,12,Bordeaux,Graves,Château Camarset,,2015,0,au Domaine,3,4.0,,12,2018,2020,2021,2021,vin de Vincent Canu,,
881.2,B,3,,B4,12,Bordeaux,Graves,Château Camarset,,2016,0,au Domaine,3,4.0,,12,2019,2020,2022,2022,vin de Vincent Canu,,
409.1,B,3,,M1,0,Bordeaux,Pessac-Léognan,Château Malartic Lagravière,Blanc,2016,0,,3,0.0,,0,,,,,,,
,B,3,,M1,0,Bordeaux,Pessac-Léognan,Château Smith Haut Lafitte,Blanc,2016,0,,3,0.0,,0,,,,,,,
905.1,B,1,,S3,,Bordeaux,Bordeaux contrôlé,Le sec de rayne Vigneau,Blanc,2016,0,,1,0.0,,,,,,,,,
339.1,,1,,B3,0,Bordeaux,Margaux,Haut-de-Giscours,,2006,0,,,0.0,,,,,,,Cadeau,,
762.1,,1,,B3,0,Bordeaux,Pessac-Léognan,Château Fort d'Ornon,,1998,0,,1,0.0,,,,,,2020,Cadeau C&V du 11/05/19. A boire urgent,,
668.1,,1,,B3,0,Bordeaux,Saint-Estèphe,Château Haut-Marbuzet,,2003,0,,,0.0,,0,,,,,Acheté en primeur,,
482.1,,2,,T3,0,Bourgogne,Corton,Domaine Jacob,"Grand Cru ""Les Carrières""",2014,0,au Domaine,,0.0,,0,,2020,2025,,achetè aux Caves particulières,,
353.1,,1,0.5,K1,,Jura,Côtes de Jura,Domaine G. Quillot,Vin de Paille,2000,0,,,0.0,,,,,,,,,
612.1,B,1,,D17,5,Jura,Château Chalon,Domaine Marcel Cabelier,,1999,0,,1,5.3,,5,,,,,,,
612.2,B,1,,D18,5,Jura,Château Chalon,Domaine Marcel Cabelier,,2008,0,,1,5.3,,5,,,,,,,
938,,0,,,0,Languedoc,Saint-Chinian,Domaine de la Linquière,Le chant des cigales,2011,0,,1,2.7,,3,2015,2015,2021,2021,bu  avec François mai 2021. Très agréable sur tendrons de veau,,
428.2,B doux,4,,K15,,Loire,Bonnezeaux,Château Perray Jouannet,Domaine A. Laffourcade,1989,0,,,0.0,,,,,,,,,
